ParticleType	Energy
pi+,400.749
pi+,400.749
mu+,279.214
mu+Det_2,279.214
mu+,279.214
pi-,320.582
pi-,320.582
pi-,320.582
pi-,318.44
pi-Det_2,318.44
pi+,447.112
pi+,447.112
pi+,445.336
pi+Det_2,445.336
pi+,397.991
pi+,397.991
pi+,395.886
pi+Det_2,395.886
pi-,336.171
pi-,336.171
pi-,333.881
pi-Det_2,333.881
pi+,238.1
pi+,238.1
pi+,238.1
mu+,165.586
mu+Det_2,165.586
mu+,165.586
pi+,413.393
pi+,413.393
pi+,410.56
pi+Det_2,410.56
pi+,673.195
pi+,673.195
pi+,671.687
pi+Det_2,671.687
pi+,299.996
pi+,299.996
pi+,299.996
pi+,297.983
pi+Det_2,297.983
pi+,297.983
pi+,206.793
pi+,206.793
mu+,227.709
mu+Det_2,227.709
pi+,251.692
pi+,251.692
pi+,251.692
pi+,250.084
pi+Det_2,250.084
pi+,250.084
pi+,529.895
pi+,529.895
pi+,527.131
pi+Det_2,527.131
pi+,2976.9
pi+,2976.9
pi+,2975.18
pi+Det_2,2975.18
pi+,2975.18
pi+,628.004
pi+,628.004
pi+,626.038
pi+Det_2,626.038
pi+,553.875
pi+,553.875
pi+,552.428
pi+Det_2,552.428
pi+,743.64
pi+,743.64
pi+,741.97
pi+Det_2,741.97
pi-,749.17
pi-,749.17
pi-,747.526
pi-Det_2,747.526
pi-,359.042
pi-,359.042
pi-,357.392
pi-Det_2,357.392
pi-,276.23
pi-,276.23
mu-,244.571
mu-Det_2,244.571
mu-,244.571
pi-,700.006
pi-,700.006
pi-,697.84
pi-Det_2,697.84
pi+,1036.33
pi+,1036.33
mu+,877.067
mu+Det_2,877.067
pi+,411.839
pi+,411.839
pi+,409.983
pi+Det_2,409.983
pi+,122.551
pi+,122.551
pi+,122.551
mu+,97.7646
mu+Det_2,97.7646
mu+,97.7646
pi+,1542.94
pi+,1542.94
pi+,1541.16
pi+Det_2,1541.16
pi-,135.589
pi-,135.589
pi-,135.589
pi-,132.256
pi-Det_2,132.256
pi-,132.256
pi-,271.089
pi-,271.089
pi-,271.089
pi-,269.571
pi-Det_2,269.571
pi-,269.571
pi+,1329.72
pi+,1329.72
pi+,1328.13
pi+Det_2,1328.13
mu-,29.7086
mu-,29.7086
mu-,29.7086
mu-,25.5497
mu-Det_2,25.5497
mu-,25.5497
pi+,242.848
pi+,242.848
pi+,242.848
pi+,240.817
pi+Det_2,240.817
pi+,240.817
pi-,422.115
pi-,422.115
pi-,419.428
pi-Det_2,419.428
pi+,258.024
pi+,258.024
pi+,258.024
mu+,255.412
mu+Det_2,255.412
mu+,255.412
pi-,42.8378
pi-,42.8378
pi-,42.8378
mu-,6.69004
mu-Det_2,6.69004
mu-,6.69004
pi-,506.019
pi-,506.019
mu-,503.102
mu-Det_2,503.102
pi-,768.571
pi-,768.571
pi-,766.824
pi-Det_2,766.824
pi-,294.355
pi-,294.355
pi-,294.355
pi-,292.745
pi-Det_2,292.745
pi-,292.745
pi-,1328.24
pi-,1328.24
pi-,1326.05
pi-Det_2,1326.05
pi+,549.196
pi+,549.196
pi+,546.13
pi+Det_2,546.13
pi+,762.616
pi+,762.616
mu+,788.621
mu+Det_2,788.621
mu-,264.414
mu-,264.414
mu-,264.414
mu-,262.531
mu-Det_2,262.531
mu-,262.531
pi+,394.709
pi+,394.709
mu+,246.453
mu+Det_2,246.453
mu+,246.453
pi+,866.075
pi+,866.075
pi+,863.61
pi+Det_2,863.61
pi-,533.143
pi-,533.143
mu-,484.984
mu-Det_2,484.984
pi-,388.91
pi-,388.91
pi-,386.314
pi-Det_2,386.314
pi+,1714.84
pi+,1714.84
pi+,1712.99
pi+Det_2,1712.99
pi-,294.186
pi-,294.186
pi-,294.186
pi-,292.52
pi-Det_2,292.52
pi-,292.52
pi-,854.986
pi-,854.986
pi-,853.362
pi-Det_2,853.362
pi+,545.205
pi+,545.205
pi+,542.224
pi+Det_2,542.224
pi-,1259.28
pi-,1259.28
pi-,1257.36
pi-Det_2,1257.36
pi-,384.789
pi-,384.789
pi-,383.034
pi-Det_2,383.034
pi-,251.862
pi-,251.862
pi-,248.423
pi-Det_2,248.423
pi-,74.9587
pi-,74.9587
pi-,74.9587
pi-,71.0339
pi-Det_2,71.0339
pi-,71.0339
mu+,261.832
mu+Det_2,261.832
pi-,572.501
pi-,572.501
pi-,570.154
pi-Det_2,570.154
